person,also_recorded_as,first_year,last_year,years_served,years,most_senior_office,all_offices,what_they_did,sources
Pat Newton,,1972-73,1972-73,1,1972-73,Treasurer,Treasurer (1972-73),"Pat Newton served as treasurer of the Associated Student Government for 1972-73, under the constitution that remade the Congress to include ten representatives at large and two from each academic college alongside the class officers and Academic Council delegation. The 1973 Talisman's Who's Who feature profiles Newton separately from her ASG role: an accounting and economics major, she was a member of the business games team and was named to Who's Who Among Student Leaders of America. She also served as both treasurer and president of Alpha Delta Pi sorority.","1973 Talisman, Associated Students, and Who's Who, p. 227"
Pat Riley,,1969-70,1970-71,2,1969-70; 1970-71,Junior Class Vice President,Junior Class Vice President (1969-70); Judicial Committee (1970-71),"Pat Riley won the Junior Class Vice Presidency for 1969-70 in the spring 1969 Associated Students election, defeating Russ Richardson, 467 votes to 455. The 1971 Talisman's Associated Students spread lists him among the members of the Judicial Committee the following year, the body that interpreted the Associated Students constitution, heard appeals of election disputes, ruled on student traffic violations and considered conduct questions referred to it by the Dean of Student Affairs. Riley sat on the Associated Students Judicial Committee in 1970-71, named in the committee's photograph caption on p. 68 of the 1971 Talisman. The archive separately records a Pat Riley elected junior class vice president for 1969-70, by 467 votes to 455; the two entries are kept apart because no source states they are the same student.","1971 Talisman, p. 68, Judicial Committee photograph caption; UA3/3/1 Associated Student Government Election, spring 1969 result sheet"
Pat Smith,,1966-67,1966-67,1,1966-67,Representative of Women's Residence Halls,Representative of Women's Residence Halls (1966-67),"Pat Smith, a senior from Louisville, held the Representative of Women's Residence Halls seat in the first Congress of Associated Students, elected in May 1966. No other record of her time in office survives in this archive.","UA3/3/1 Congress of Associated Students, roster of the first Congress elected May 1966"
Pat Williams,,1975-76,1975-76,1,1975-76,"member, Associated Student Government","member, Associated Student Government (1975-76)","Named on the ASG's own printed ""Attendance Roll: Effective as of April 6, 1976,"" a roster of Congress members with a meetings-missed count, introduced by a quote from Nancy Wilk, ASG Secretary, on the policy of removing a member from Congress after four absences.","1976 Talisman, ASG Attendance Roll, p. 62-63"
Patricia B. McEwen,,1970-71,1970-71,1,1970-71,Senator,Senator (1970-71),"McEwen sat in the Associated Students Congress at some point during her time at Western, according to the Talisman's senior directory, compiled for her senior year of 1970-71, which also lists her in Alpha Delta Pi and Panhellenic. The directory does not date her Congress term.","1971 Talisman, senior directory"
Patricia Lanning,,1966-67,1966-67,1,1966-67,Panhellenic Representative,Panhellenic Representative (1966-67),"Patricia Lanning, a senior from Bowling Green, held one of the two Panhellenic Representative seats in the first Congress of Associated Students, elected in May 1966. She was also president of the campus Panhellenic Council that year. The Herald profiled her on 3 November 1966 under the headline ""Panhellenic President Doubles as Housewife,"" and had printed a piece under her byline the previous week, headlined ""Sorority Girls Chided,"" about the Sigma Chi Derby.","UA3/3/1 Congress of Associated Students, roster of the first Congress elected May 1966"
Patrick Howard,,1995-96,1995-96,1,1995-96,Senior Off-Campus Representative,Senior Off-Campus Representative (1995-96),Accepted by acclamation to a Senior Off-Campus seat 29 Aug 1995. Does not reappear in any later minutes read.,"SGA Meeting Minutes, 29 Aug 1995"
Patrick McBrian,,1990-91,1991-92,2,1990-91; 1991-92,"Congress member; Residence Hall Association representative, later RHA president","Congress member; Residence Hall Association representative, later RHA president (1990-91); Congress member (seat not specified in minutes) (1991-92)","Named 15 Jan 1991 as RHA's representative. On the absence roll 5 Feb 1991 and 26 Feb 1991. Set to take over as RHA president per the 12 Mar 1991 minutes. On the absence roll at the 8 Oct 1991 meeting only. A 21 Jan 1992 note that 'Patrick McBrian resigned as President' sits amid Residence Hall Association business, not ASG's, and does not bear on his ASG Congress-member status.","ASG Minutes, 5 Feb 1991; ASG Minutes, 8 Oct 1991"
Patrick Monohan,Pat Monohan,1991-92,1993-94,3,1991-92; 1992-93; 1993-94,Public Relations Vice President,Public Relations Vice President (1992-93); Congress member (seat not specified in minutes) (1991-92); Judicial Council Member (1993-94),"On the absence roll 12 Nov 1991 and 24 Mar 1992. Patrick Monahan served as SGA Public Relations Vice President for 1992-93; the minutes spell his surname both Monahan and Monohan. He distributed 16,000 student discount cards and announced that the state SGA conference would be held at Western the weekend of 31 October 1992. He reported the kick-off of Project Western and told Congress that every committee needed to produce one piece of legislation a week. SGA's minutes of 31 August 1993 record Pat Monohan among the members seated that year on the Judicial Council.","ASG Minutes, 12 Nov 1991; SGA Minutes, 25 Aug 1992 and 9 Feb 1993; SGA Minutes, 31 Aug 1993"
Patrick Swindle,,1995-96,1995-96,1,1995-96,"Congress member, per roll call (seat not stated)","Congress member, per roll call (seat not stated) (1995-96)",Absent from roll call 27 Feb 1996 and 5 Mar 1996.,"SGA Meeting Minutes, 27 Feb 1996"
Patti Davis,,1980-81,1980-81,1,1980-81,Congress member; On-Campus Representative,Congress member; On-Campus Representative (1980-81),"Appointed On-Campus Representative by President Fuller with the consent of Congress, 7 Oct 1980, filling one of the vacancies announced at the year's first meeting.","ASG Minutes, 7 Oct 1980"
Patti Johnson,,2001-02,2004-05,4,2001-02; 2002-03; 2003-04; 2004-05,president,"president (2004-05); President (2004-05); Executive Vice President (2003-04); Public Relations Vice-Chair, approved by Congress, 18 Sep 2001 (2001-02); Chair, Public Relations (2002-03)","Nominated for the year-end ""Stewart"" and ""Committee"" awards, 9 Apr 2002 (minutes_835.pdf). Confirmed as Executive Vice President, chairing Congress, at all four meetings checked (2 Sep, 16 Sep, 2 Dec 2003, 13 Apr 2004). Patti Johnson, a senior from Marion, had been active in SGA for over three years and served on committees including public relations and athletics before becoming executive vice president in 2003-04. Nick Todd, the vice president of finance, was elected president for 2004-05 in March 2004, but before the new officers were sworn in on April 27, SGA's judicial council fielded an allegation that $611 was missing from the SGA Dining Dollars account, an account that had started the year with $5,000. Senator Josh Collins drafted articles of impeachment against Todd's vice presidency, but the judicial council ruled a two-week impeachment process could not finish before he left that office anyway. Johnson had not planned to run for president herself, but after Todd's resignation that July she entered the September 2004 special election as the only candidate to show interest, saying she stayed on because of ""the turmoil within the organization"" and that she knew ""what it takes to get the job done."" Johnson ran unopposed for president and student regent in the Sept. 14-15 online election, the group having been without an elected president since July. She said she was disappointed that students would not ""really get to make a decision,"" but still planned light campaigning, and she wanted to continue reviewing the plus/minus grading proposal and to make faculty evaluations available to students. Johnson received 1,291 votes in the two-day uncontested election and was sworn in as president at SGA's fall reception on Sept. 23, 2004, one week after her election. She said committees had been formed and members had begun proposing legislation, and she looked forward to being sworn in as student regent at the Oct. 29 Board of Regents meeting, declaring it was ""back to business."" She served through the year until Katie Dawson was elected to succeed her in the March 2005 spring election. Johnson served as the Board of Regents' student member from August 2004 to July 2005, a term confirmed by the resolution of appreciation the board read into its July 22, 2005 minutes when Katie Dawson, the executive vice president who had served alongside her all year, was sworn in to replace her. Dawson had come up through the cabinet as Todd's running mate in the original March 2004 election and had acted as interim president during the summer vacancy before Johnson's win. Also held the Board of Regents' student seat from August 2004 to July 2005.","Herald - president-elect under investigation; SGA Meeting Minutes, 27 Aug 2002; SGA Meeting Minutes, September 18, 2001; SGA minutes, 2 Sep 2003; WKU Board of Regents minutes, 22 Jul 2005 (TopSCHOLAR)"
Patty Campbell,,1975-76,1975-76,1,1975-76,"member, Associated Student Government","member, Associated Student Government (1975-76)","Named on the ASG's own printed ""Attendance Roll: Effective as of April 6, 1976,"" a roster of Congress members with a meetings-missed count, introduced by a quote from Nancy Wilk, ASG Secretary, on the policy of removing a member from Congress after four absences.","1976 Talisman, ASG Attendance Roll, p. 62-63"
Patty Skaggs,,1971-72,1971-72,1,1971-72,Senator,Senator (1971-72),"Patty Skaggs sat in the Associated Students Congress in 1971-72, under president Linda Jones, vice president Reginald Glass, secretary Nancy Pape and treasurer Joe Glasser. The Congress group photograph on pp. 272-273 of the 1972 Talisman is the only record of the term found: it names the members and gives no office, seat or committee. The same pages record the Congress's year - elections for class officers, Who's Who and Homecoming queen, an October mock election for governor, an autumn symposium at which students questioned administrators, a renewed attempt at constitutional revision, and the revival of the Kentucky Student Association among the state's student governments.","1972 Talisman, pp. 272-273"
Patty Wohlheiter,,1971-72,1971-72,1,1971-72,Senator,Senator (1971-72),"Patty Wohlheiter sat in the Associated Students Congress in 1971-72, under president Linda Jones, vice president Reginald Glass, secretary Nancy Pape and treasurer Joe Glasser. The Congress group photograph on pp. 272-273 of the 1972 Talisman is the only record of the term found: it names the members and gives no office, seat or committee. The same pages record the Congress's year - elections for class officers, Who's Who and Homecoming queen, an October mock election for governor, an autumn symposium at which students questioned administrators, a renewed attempt at constitutional revision, and the revival of the Kentucky Student Association among the state's student governments.","1972 Talisman, pp. 272-273"
Paul Blevins,,2004-05,2004-05,1,2004-05,Senator,Senator (2004-05),"A Campbellsville sophomore whom the Herald's report on the 15 September 2004 election described as elected to office and glad of it, in its run of reactions from the newly elected senators. The article does not name him as a senator in so many words; the presidential race was decided the same night, but Patti Johnson ran for that office unopposed, so the senate seats were the only contested places to win.","Herald 80:7, 16 Sep 2004 - Johnson, 23 senators win SGA elections"
Paul Brosky,,2018-19,2020-21,3,2018-19; 2019-20; 2020-21,Director of Information Technology,Director of Information Technology (2018-19); Director of Information Technology (2019-20); Director of Information Technology (2020-21),"Brosky was one of the twenty-four SGA members who went to the Rally for Higher Education in Frankfort in February 2019, and said he hoped student opinion would reach the representatives there. Paul Brosky was SGA's director of information technology across three administrations, in 2018-19, 2019-20 and 2020-21. The post kept the Senate's voting records, attendance and legislation; confirmed 14-2 for a second year in September 2019, he rebuilt the rest of the SGA website once the autumn elections were over. In September 2020, with meetings moved online by COVID-19, he told the Senate the election codes would be sent to students electronically. On the executive cabinet roll at the cabinet meeting of 13 October 2020. The senate minutes of 15 September 2020 head his report ""IT Director Paul Brosky"", where he told the Senate the election codes would be sent to students electronically because of COVID-19.","SGA Senate minutes, 3 Sep 2019; SGA Senate minutes, 4 Sep 2018; WKU SGA, Senate minutes, 15 Sep 2020"
Paul Calico,,1974-75,1975-76,2,1974-75; 1975-76,representative-at-large,representative-at-large (1974-75); member (1975-76),"A Sigma Nu chapter page in the 1975 Talisman records Calico as a representative-at-large to the student government. Sigma Nu chapter page states he was 'also active in ASG,' in the same sentence as Paul Nation. He also appears on the ASG Attendance Roll. The parenthetical claim that Calico was representative-at-large in 1974-75 is a cross-reference to a different year's already-recorded source and is not addressed or contradicted by this 1976 volume; it is left as-is since it makes no claim against this source.","1975 Talisman, Greeks (Sigma Nu); 1976 Talisman, Greeks (Sigma Nu), p. 290-291"
Paul Civils,,1968-69,1969-70,2,1968-69; 1969-70,"Member, Associated Students","Member, Associated Students (1968-69); Sophomore Class Representative At Large (1969-70)","Named first in the second row of the Associated Students group photograph, a year before the sophomore representative-at-large seat the archive records him in. Paul Civils won the Sophomore Class Representative at Large seat for 1969-70 in the spring 1969 Associated Students election, narrowly defeating Ken Bowman, 695 votes to 673. He had already held class office once before: the Herald reported on 3 October 1968 that he and Don Small had won the freshman class president primary, and on 10 October 1968 ran the headline ""Paul Civils Wins Presidency by Landslide,"" reporting his win of the freshman class presidency for 1968-69.","1969 Talisman, p. 95; UA3/3/1 Associated Student Government Election, spring 1969 result sheet"
Paul Francis Wilson,,2015-16,2015-16,1,2015-16,Senator,Senator (2015-16),"Appointed as a senator by President Richey and approved by unanimous consent, 20 October 2015. Recorded as ""Francis Wilson"" voting against Resolution 1-16-S on 2 February 2016.","SGA Senate minutes, 20 Oct 2015"
Paul Gaines,,1967-68,1967-68,1,1967-68,Sophomore Class Vice-President,Sophomore Class Vice-President (1967-68),"Paul Gaines served as Sophomore Class Vice-President in the 1967-68 Associated Student Government, per the officers' roster preserved in the WKU Archives.",UA3/3/1 Associated Student Government Officers 1967-68
Paul Gerard,,1967-68,1969-70,2,1967-68; 1969-70,Rules and Elections Committee,Rules and Elections Committee (1967-68); Senior Class President (1969-70),"A Paul Gerard of Bowling Green is separately recorded as Associated Students student regent from 1968-69; this roster does not carry a ""III"" or otherwise confirm the two are the same person, so they are kept as separate entries. The hometown and the timing, a year before his rise in 1968 campus politics, are circumstantially consistent. Paul Gerard was elected Senior Class President for 1969-70 in the spring 1969 Associated Students election, carrying the office with 739 votes against no opponent listed on the result sheet. No further record of his year in office survives in this archive.","UA3/3/1 Associated Student Government Election, spring 1969 result sheet; UA3/3/1 Associated Student Government Officers 1967-68"
"Paul Gerard, III",,1968-69,1969-70,2,1968-69; 1969-70,regent,regent (1968-69); regent (1969-70),"Paul Gerard first appeared in the Herald's campus politics coverage in April 1968, when the paper reported him battling Mike Collins for a senior class post in that week's election. A Paul Gerard of Bowling Green appears on the 1967-68 Associated Students committee roster, appointed to the Rules and Elections Committee that fall; nothing on that roster confirms the two are the same person, but the hometown and the timing, a year before this campaign, are circumstantially consistent. By February 1969 Gerard held the student seat on the Board of Regents, and Herald writer Bruce Tucker profiled him as the student regent. He followed William Menser, who in April 1968 had become the first student to sit with the board. Paul Gerard entered 1969-70 as the sitting student regent, the role in which the Herald had profiled him in February 1969. The student seat still carried no vote. The limits of the position defined the year around him: in March 1970 the Herald reported the legislature dropping the bill that would have given student regents a vote, under the headline that lawmakers had kept students impotent.","Herald 48:19, 27 Feb 1969; UA3/3/1 Memo Re: Results of Election, Ron Beck, 3 May 1968"
Paul J. Deom,,1980-81,1980-81,1,1980-81,Judicial Council Member,Judicial Council Member (1980-81),"Deom, a junior from Boonville, Indiana, was an Associated Student Government member and Judicial Council representative in 1980-81 when he broke with ASG over the university's dormitory room-inspection policy. After Congress defeated a resolution against the inspections 16-13, he contacted the Kentucky Civil Liberties Union and asked it to investigate, and, working with campus KCLU chapter president Michael Taylor, joined the effort to build a broader Bowling Green chapter of the group drawing in non-student residents. ASG did not follow him. After the KCLU took up the matter, Congress defeated a second resolution against the inspections and re-endorsed the university's policy; the 1981 Talisman's own account of the vote is inconsistent, giving the tally as both 24-9, with three abstentions, and separately as 29-4. Administrative vice president Mark Wilson argued in the debate that fire-safety checks should not be equated with search and seizure, and that if the resolution passed, dorm residents' rights would be waived. By February 1982 Deom was no longer on the Judicial Council. The Herald's 4 February 1982 issue carried a letter from him, headlined ""Former Judicial Council Member Irked,"" and two further letters followed in reply: M. A. Baker's ""Paul Deom Honorable"" on 9 February and Winston Stevenson's ""Paul Deom Defended"" on 18 February. The archive does not yet hold the text of any of the three, so what exactly was in dispute is not established beyond what the headlines record.","Herald 57:37, 4 Feb 1982"
Paul Jennings,,1971-72,1971-72,1,1971-72,Senator,Senator (1971-72),"Paul Jennings sat in the Associated Students Congress in 1971-72, under president Linda Jones, vice president Reginald Glass, secretary Nancy Pape and treasurer Joe Glasser. The Congress group photograph on pp. 272-273 of the 1972 Talisman is the only record of the term found: it names the members and gives no office, seat or committee. The same pages record the Congress's year - elections for class officers, Who's Who and Homecoming queen, an October mock election for governor, an autumn symposium at which students questioned administrators, a renewed attempt at constitutional revision, and the revival of the Kentucky Student Association among the state's student governments.","1972 Talisman, pp. 272-273"
Paul Nation,,1974-75,1975-76,2,1974-75; 1975-76,Administrative Vice President,Administrative Vice President (1974-75); senior class president; ASG member (1975-76),"Paul Nation was administrative vice president of the Associated Student Government for 1974-75 under President Jeff Consolo. The 1975 Talisman's Greek pages record him in the post, and at the close of the year Consolo, crediting each of his officers by name, named Nation first and said all four officers had done a good job. Sigma Nu chapter page states he was senior class president and was on the Associated Student Government (ASG). He also appears on the ASG Attendance Roll, confirming Congress membership independent of the class-office link.","1975 Talisman, Associated Student Government; 1976 Talisman, Greeks (Sigma Nu), p. 290-291"
Paul Palmer,,1975-76,1975-76,1,1975-76,"member, Associated Student Government","member, Associated Student Government (1975-76)","Named on the ASG's own printed ""Attendance Roll: Effective as of April 6, 1976,"" a roster of Congress members with a meetings-missed count, introduced by a quote from Nancy Wilk, ASG Secretary, on the policy of removing a member from Congress after four absences.","1976 Talisman, ASG Attendance Roll, p. 62-63"
Paul Sagun,,1990-91,1990-91,1,1990-91,Judicial Council Member,Judicial Council Member (1990-91),"Paul Sagun was one of five people Congress accepted to the Judicial Council on 28 August 1990, alongside Amos Gott, Eddie Smith, Julie Fleming and Jeff Welch. The minutes of 5 February 1991 record him swearing in a slate of new officers: Karl Miller as public relations vice president, with Nancy Rascoe, Deanna Mills, Gretchen Ploch and Eric McWilliams taking representative seats. That page of the minutes gives his surname as Sagan; the August roster and the Herald both give Sagun. That spring, in the Herald's letters column of 11 April 1991, Sagun wrote in under the headline ""No Offense Intended"" about the Associated Student Government, in the same issue that reported Heather Falmlen's contested election win and a rival group's call to boycott the vote. The archive does not preserve the letter's text.","ASG Minutes, 28 Aug 1990"
Paul Shively,,2010-11,2010-11,1,2010-11,Senator,Senator (2010-11),The 7 December 2010 minutes record 'Senator Shively' asking a technical question during debate on the DUC Renovation Resolution; his full name appears in the same minutes corpus reporting for the Senate Executive Committee (5 October and 9 November 2010 minutes).,"SGA Senate minutes, 7 Dec 2010"
Paul Smith,,1991-92,1992-93,2,1991-92; 1992-93,Congress member (seat not specified in minutes),Congress member (seat not specified in minutes) (1991-92); Senator (1992-93),"On the absence roll 12 Nov 1991 and 3 Mar 1992 -- two independent roll-call appearances. Distinct from Donald Smith and David Smith, who appear separately on the 24 Mar 1992 roll. Elected to an open Congress seat 1 Sept 1992; moved resolutions in Congress that fall.","ASG Minutes, 12 Nov 1991; SGA Minutes, 1 Sept 1992"
Paul Solverson,,1980-81,1980-81,1,1980-81,Associated Student Government,Associated Student Government (1980-81),"Talisman index entry reads ""Solverson, J. he went by Paul. The caption prints no office beside his name.","The 1981 Talisman's Associated Student Government group portrait on p. 282 lists ""Paul Solverson"" in the third row among the body's members for 1980-81."
Paul Stamp,,1975-76,1975-76,1,1975-76,"member, Associated Student Government","member, Associated Student Government (1975-76)","Named on the ASG's own printed ""Attendance Roll: Effective as of April 6, 1976,"" a roster of Congress members with a meetings-missed count, introduced by a quote from Nancy Wilk, ASG Secretary, on the policy of removing a member from Congress after four absences.","1976 Talisman, ASG Attendance Roll, p. 62-63"
Paul Wellander,,1983-84,1983-84,1,1983-84,Congress member,Congress member (1983-84),Named among the unexcused absences at the 28 February 1984 meeting.,"ASG Meeting Minutes, 28 February 1984"
Paula Miller,,1992-93,1992-93,1,1992-93,Senator,Senator (1992-93),"On the Congress absence roll, 25 Aug 1992; not found in later minutes.","SGA Minutes, 25 Aug 1992"
Peggy Hundley,,1970-71,1970-71,1,1970-71,member elected from Congress to the Executive Council,member elected from Congress to the Executive Council (1970-71),"Hundley was one of three Congress members elected to the Executive Council for 1970-71, serving alongside Joe Gerard and Glen Sweet under president John Lyne and vice president Doug Alexander. The council's role, as the Talisman described it, was to weigh policy and proposals before they reached the full Congress.","1971 Talisman, Associated Students, p. 67"
Perry Hines,,1980-81,1980-81,1,1980-81,Congress member; Representative-at-Large; chairs Minority Affairs Committee,"Congress member; Representative-at-Large; chairs Minority Affairs Committee (1980-81); Chair, Minority Affairs (1980-81)","Appointed Representative-at-Large by President Fuller with the consent of Congress, 11 Nov 1980; chairs the Minority Affairs committee from November. Also stood in the Freshman Class President election of 5 Nov 1980 and lost to Jon Holland; the vote figures were read off the scan two ways that contradict each other, so no tally is given here. Reporting for the committee by 11 November 1980 and after, succeeding Alan Jackson.","ASG Minutes, 11 Nov 1980"
Phallida White,,2002-03,2002-03,1,2002-03,At-large representative,At-large representative (2002-03),"One of three sworn in as at-large Congress members, 18 March 2003. Name as printed in a poor-quality scan; unverified against a second source and possibly an OCR misreading.","SGA Meeting Minutes, 18 Mar 2003"
Phil Berry,,1971-72,1971-72,1,1971-72,Senator,Senator (1971-72),"Phil Berry sat in the Associated Students Congress in 1971-72, under president Linda Jones, vice president Reginald Glass, secretary Nancy Pape and treasurer Joe Glasser. The Congress group photograph on pp. 272-273 of the 1972 Talisman is the only record of the term found: it names the members and gives no office, seat or committee. The same pages record the Congress's year - elections for class officers, Who's Who and Homecoming queen, an October mock election for governor, an autumn symposium at which students questioned administrators, a renewed attempt at constitutional revision, and the revival of the Kentucky Student Association among the state's student governments.","1972 Talisman, pp. 272-273"
Phil Myers,,1968-69,1970-71,3,1968-69; 1969-70; 1970-71,Read a resolution to Congress (membership not established),Read a resolution to Congress (membership not established) (1968-69); Junior Class President (1969-70); Rules and Elections Committee (1970-71),"Read the text of the minutes-publication resolution aloud at the 13 February 1969 meeting. Unlike the other people recorded from this meeting, his role was limited to reading the resolution's text; the minutes do not show him moving, seconding, voting or answering the roll, and Congress heard non-members speak, so nothing here establishes that he held a seat. Phil Myers won the Junior Class Presidency for 1969-70 in the spring 1969 Associated Students election, defeating Jim Dowd, 493 votes to 455. He stayed active in the government the following year: the 1971 Talisman's Associated Students spread lists him on the Rules and Elections Committee, which set election law, ruled on election disputes and reported on proposed constitutional amendments, and its Class of 1971 section names him president of the graduating senior class. Myers sat on the Associated Students Rules and Elections Committee in 1970-71, named in the committee's photograph caption on p. 68 of the 1971 Talisman. The archive separately records a Phil Myers elected junior class president for 1969-70, by 493 votes to 455, and the same volume's class pages name a Phil Myers president of the graduating senior class; the entries are kept apart because no source states they are the same student.","1971 Talisman, p. 68, Rules and Elections Committee photograph caption; SGA Meeting Minutes, 13 February 1969; UA3/3/1 Associated Student Government Election, spring 1969 result sheet"
Phillip J. Eleson,,1994-95,1994-95,1,1994-95,Jr. Off Campus Rep.,Jr. Off Campus Rep. (1994-95),"He was one of eight junior off-campus representatives on the Fall 1994 membership list; the minutes also spell him Elesan. The attendance roll records him absent on 20 September 1994 and then through the late-autumn run of meetings, 15, 22 and 29 November and 6 December 1994 and 17 January 1995, which covered reserved parking, sponsoring a family for Christmas, the Angel Tree and the creed monument. He attended the rest.",SGA Records: Membership List Fall 1994
Phillip Stanley,,1998-99,1998-99,1,1998-99,"Rank-and-file Congress member (recorded absent at roll call, 15 Sept 1998)","Rank-and-file Congress member (recorded absent at roll call, 15 Sept 1998) (1998-99)",Also spelled 'Philip Stanley' (10 Nov 1998).,"SGA Meeting Minutes, September 15, 1998"
Pik Panida Vesakha-Vahrinth,,2005-06,2005-06,1,2005-06,Senator,Senator (2005-06),Sworn in as a Senator 6 Sep 2005; questioned the Buy-A-Book line in the budget debate 20 Sep 2005 and served on the Organizational Aid Committee. Surname rendered inconsistently by OCR.,"SGA Meeting Minutes, 6 Sep 2005"
Polly Proctor,,1981-82,1981-82,1,1981-82,Congress member,Congress member (1981-82),Named in the roll-call absence lists of 16 February and 13 April 1982.,"ASG Minutes, 16 Feb 1982"
Poorvie Patel,,2009-10,2012-13,3,2009-10; 2010-11; 2012-13,Senator,Senator (2009-10); Senator (2010-11); Senator (2012-13),"Recorded absent by full name on 2 March 2010; continued serving in the Senate through at least 2012-13. Approved to the Student Senate by blanket vote on 28 September 2010, as one of three appointments sworn in that night. She had also held a seat in 2009-10. Moved approval of the meeting's minutes as ""Senator Patel poorvie"" on 23 October 2012, having also held Senate seats in 2009-10 and 2010-11.","SGA Senate minutes, 2 Mar 2010; SGA Senate minutes, 23 Oct 2012; SGA Senate minutes, 28 Sep 2010"
Preston Jenkins,,2024-25,2025-26,2,2024-25; 2025-26,Chief Communications Officer,Chief Communications Officer (2024-25); Chief Communications Officer (2025-26),"Appointed over the summer of 2024 on what Chief of Staff Wright described to the Senate as President Kurtz's executive decision, and welcomed at the first meeting of the year on 27 August 2024. He handled the fall election and Uber voucher graphics and the senators' t-shirt orders. He was reappointed in April 2025 and served a second year. Preston Jenkins was appointed chief communications officer over the summer of 2024, an appointment Chief of Staff Anne-Marie Wright described to the Senate as President Sam Kurtz's decision; he was welcomed at the year's first meeting on 27 August 2024, where he reported he was planning graphics for the fall election. President Rush Robinson reappointed him to the post on 22 April 2025, one of his first acts in office, and the Senate confirmed the reappointment unanimously; Jenkins kept the post through the 25th Senate's opening on 23 April 2025. In August 2025 Jenkins announced a plan to have four student artists each paint one side of a column in the SGA chambers, incorporating WKU campus elements, with entries due by 19 September. At the 25th Senate's final meeting on 14 April 2026, he reported that WKU's new Artificial Intelligence Committee, on which he sat, was in early talks about bulk subscriptions to AI products for students and a possible introductory AI course for freshmen; the Senate closed the year having passed 56 bills, the most since 2018-19.","Herald, 15 Sep 2025; WKU SGA, Senate minutes, 27 Aug 2024"
Preston Romanov,,2021-22,2023-24,3,2021-22; 2022-23; 2023-24,Senator At Large,Senator At Large (2021-22); Director of Public Relations (2022-23); Director of Public Relations (2023-24),"Named as an author on two pieces of SGA legislation in the 2021-22 session: Bill 13-21-F (Funding for a Wellness Wednesday Event); Bill 14-22-S (Funding for Mental Health Awareness Week in April 2022). Told the Senate on 30 August 2022 that SGA's Instagram had gained a hundred followers over the summer and that he was considering a TikTok account. He co-authored Bill 33-23-S funding Bike4Alz Team 11. Romanov was already director of public relations by the 2022-23 year; at the Senate's 30 August 2022 meeting he outlined plans to grow SGA's social media reach on Instagram, TikTok and Linktree. He was one of seven signers of the bill funding SGA's 2022-23 budget, which the Senate passed 29-0 on 6 September 2022, and he later co-authored Bill 33-23-S funding SGA's Bike4Alz Team 11. In February 2024, the Executive Cabinet's complaint seeking a Judicial Council censure hearing against Administrative Vice President Salvador León said León had pushed Romanov to promote Neurodiversity Week on SGA's social media before that week's funding bill had passed, ahead of the Senate's own vote on it. The council heard the complaint on 7 February 2024 and voted 6-0 to censure León, recommending no further disciplinary action. Nothing in the record suggests Romanov was himself the subject of the complaint. Romanov returned as director of public relations for 2023-24, when he arranged headshots for the executive cabinet at the start of the year and ordered polo shirts for SGA members, including the Judicial Council.","SGA legislation: Bill 14-22-S, Funding for Mental Health Awareness Week in April 2022; WKU SGA, Executive Cabinet minutes, 29 Aug 2023; Wayback capture, wku.edu/sga cabinet, 4 Feb 2023"
Quinton Fawbush,,1984-85,1984-85,1,1984-85,Congress member,Congress member (1984-85),Named absent at roll call at both the 4 September and 30 October 1984 ASG meetings.,"ASG Meeting Minutes, 4 September 1984"
R. G. Meade,,1972-73,1972-73,1,1972-73,"Chairman, Rules and Elections Committee","Chairman, Rules and Elections Committee (1972-73)","Congress approved R. G. Meade as chairman of the Rules and Elections Committee at its first meeting of the 1972-73 year, 31 August 1972; in the same issue, speaking as co-chairman, he told the Herald that filing was so thin that four colleges had only one candidate each running for their Academic Council seats. The 1973 Talisman describes the committee, headed by Meade and Fred Price, as the body that set campaign guidelines and heard election disputes, and says it drew particular attention that autumn over a disputed Homecoming Queen election and re-election. The Herald itself is inconsistent on his name, printing him as both R. G. Meade and Robert Meade in stories from the same page; the archive keeps both spellings rather than silently choosing one.","Herald 52:3, 1 Sep 1972, 'New appointments win ASG approval'"
Rachel Calhoun,,2010-11,2011-12,2,2010-11; 2011-12,Secretary of the Student Senate,Secretary of the Student Senate (2011-12); Senator (2010-11),"The 7 December 2010 minutes record 'Senator Calhoun' speaking in debate on Bill 22-10-F; her full name appears elsewhere in the 2010-11 corpus, including the 31 August 2010 and 30 November 2010 minutes, while the 5 October 2010 minutes separately thank 'Senator Calhoun' for her work preparing the fall retreat. Rachel Calhoun served as secretary of the student senate in 2011-12 and worked on SGA's organizational aid committee, which distributed roughly $34,000 to about fifty student groups that year in grants capped at $500 each. She said one of the criteria for funding was that a grant should not simply pay for a party unless the event was open to a large number of students: ""It had to affect a lot of students and be legitimate."" She recalled a trip by a group of Chinese students touring Kentucky's sites and culture as one of the more memorable requests the committee funded. In May 2012 she spoke in the senate's debate over a resolution backing gender-neutral and transgender-inclusive campus housing, arguing that student government was there to listen to students and that SGA should support a group of them who said they didn't feel safe; the resolution passed.","Herald, 20 Apr 2012; SGA Senate minutes, 7 Dec 2010"
Rachel Carl,,1998-99,1998-99,1,1998-99,"Sworn in as an At-Large member, 29 Sept 1998","Sworn in as an At-Large member, 29 Sept 1998 (1998-99)",Recorded absent at roll call repeatedly through February 1999.,"SGA Meeting Minutes, September 29, 1998"
